Timestep: 0, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 1, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 2, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111]
Timestep: 3, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 4, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 5, Trans probs: [0.2, 0.1, 0.1, 0.1, 0.2, 0.1, 0.1, 0.1]
Timestep: 6, Trans probs: [0.18181818181818182, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]
Timestep: 7, Trans probs: [0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 8, Trans probs: [0.25, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]
Timestep: 9, Trans probs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 10, Trans probs: [0.1, 0.1, 0.3, 0.1, 0.1, 0.1, 0.1, 0.1]
Timestep: 11, Trans probs: [0.23076923076923078, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]
Timestep: 12, Trans probs: [0.21428571428571427, 0.07142857142857142, 0.21428571428571427, 0.07142857142857142, 0.21428571428571427, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142]
Timestep: 13, Trans probs: [0.2, 0.06666666666666667, 0.26666666666666666, 0.06666666666666667, 0.2, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]
Timestep: 14, Trans probs: [0.09090909090909091, 0.09090909090909091, 0.36363636363636365, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]
Timestep: 15, Trans probs: [0.25, 0.0625, 0.25, 0.0625, 0.1875, 0.0625, 0.0625, 0.0625]
Timestep: 16, Trans probs: [0.1, 0.1, 0.2, 0.1, 0.1, 0.2, 0.1, 0.1]
Timestep: 17, Trans probs: [0.23529411764705882, 0.058823529411764705, 0.23529411764705882, 0.058823529411764705, 0.17647058823529413, 0.11764705882352941, 0.058823529411764705, 0.058823529411764705]
Timestep: 18, Trans probs: [0.2222222222222222, 0.05555555555555555, 0.2777777777777778, 0.05555555555555555, 0.16666666666666666, 0.1111111111111111, 0.05555555555555555, 0.05555555555555555]
Timestep: 19, Trans probs: [0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]
Timestep: 20, Trans probs: [0.21052631578947367, 0.05263157894736842, 0.2631578947368421, 0.05263157894736842, 0.21052631578947367, 0.10526315789473684, 0.05263157894736842, 0.05263157894736842]
Timestep: 21, Trans probs: [0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091]
